Compas,Pitch,Roll,AccX,AccY,AccZ,Timer2,temps,Comportement
13,37,15,-1296,8912,10752,28140,11.05849,D_S_TH
3595,38,15,-1088,11168,11312,28141,11.0724935,D_S_TH
3575,38,14,-960,12240,12992,28142,11.086497,D_S_TH
3553,38,13,-176,13632,13552,28143,11.1005005,D_S_TH
3532,39,13,960,14944,14304,28144,11.114504,D_S_TH
3515,39,12,2032,15424,14816,28145,11.1285075,D_S_TH
3500,40,12,2544,15504,15280,28146,11.142511,D_S_TH
3484,40,11,2704,15312,15376,28147,11.1565145,D_S_TH
3456,39,11,3600,15088,14240,28148,11.170518,D_S_TH
3447,39,11,3952,11728,11296,28149,11.1845215,D_S_TH
3440,39,11,3888,10576,10704,28150,11.198525,D_S_TH
3381,40,11,2032,9728,18176,28176,11.562616,D_S_TI
3384,40,11,3728,12096,14704,28177,11.5766195,D_S_TI
3391,40,11,5360,13360,13152,28178,11.590623,D_S_TI
3400,41,12,6912,13568,12176,28179,11.6046265,D_S_TI
3412,41,13,7920,11680,11600,28180,11.61863,D_S_TI
3437,40,14,8528,10080,10496,28181,11.6326335,D_S_TI
3452,40,15,10160,7488,9936,28182,11.646637,D_S_TI
3475,40,16,16240,3984,4960,28183,11.6606405,D_S_TI
3475,39,18,13552,9376,7936,28184,11.674644,D_S_TI
3497,39,18,7776,9024,20624,28185,11.6886475,D_S_TI
3498,38,18,5280,6480,20688,28186,11.702651,D_S_TI
3272,29,15,4944,6320,13040,28212,12.066742,D_S_TI
3273,29,16,5792,6864,11952,28213,12.0807455,D_S_TI
3276,29,16,5792,6864,11952,28214,12.094749,D_S_TI
3279,30,17,6784,10128,10800,28215,12.1087525,D_S_TI
3278,30,17,6256,11200,10304,28216,12.122756,D_S_TI
3271,30,17,5232,10816,10736,28217,12.1367595,D_S_TI
3259,30,17,3936,9168,11200,28218,12.150763,D_S_TI
3243,30,17,2896,7184,11584,28219,12.1647665,D_S_TI
3225,29,17,1968,6256,11712,28220,12.17877,D_S_TI
3205,29,16,1664,5920,12304,28221,12.1927735,D_S_TI
3163,29,15,1392,5904,12464,28222,12.206777,D_S_TI
2983,39,13,4480,10608,11040,28247,12.5568645,D_S_TI
2983,39,13,5856,12128,8976,28248,12.570868,D_S_TI
2985,39,13,5744,13376,7920,28249,12.5848715,D_S_TI
